OriginalPesticideRowID,companyname,companyregistrationnumber,streetname,streetbuildingidentifier,flooridentifier,postcodeidentifier,city,acreagesize,acreageunit,name,code,pesticidename,pesticideregistrationnumber,dosagequantity,dosageunit,nopesticides,TotalMarkerArea,Difference_PesticideArea_MarkerArea,Percentage_Difference_Marker,TotalGKEAArea,Difference_PesticideArea_GKEAArea,Percentage_Difference_GKEA
202561,,34353816,Rødbyvej,8,nan,4930,Maribo,419.15,2,"Kartofler, lægge- (certificerede)",149,,396-34,327.504,4,0,337.67,81.47999999999996,24.130067817691817,,,
202562,,34353816,Rødbyvej,8,nan,4930,Maribo,419.15,2,"Kartofler, lægge- (certificerede)",149,,19-93,39.96,4,0,337.67,81.47999999999996,24.130067817691817,,,
202563,,34353816,Rødbyvej,8,nan,4930,Maribo,419.15,2,"Kartofler, lægge- (certificerede)",149,,1-195,305.148,4,0,337.67,81.47999999999996,24.130067817691817,,,
202567,,34353816,Rødbyvej,8,nan,4930,Maribo,419.15,2,"Kartofler, lægge- (certificerede)",149,,632-2,90.1,4,0,337.67,81.47999999999996,24.130067817691817,,,
202568,,34353816,Rødbyvej,8,nan,4930,Maribo,419.15,2,"Kartofler, lægge- (certificerede)",149,,352-5,31.555,2,0,337.67,81.47999999999996,24.130067817691817,,,
202569,,34353816,Rødbyvej,8,nan,4930,Maribo,419.15,2,"Kartofler, lægge- (certificerede)",149,,396-57,80.583,4,0,337.67,81.47999999999996,24.130067817691817,,,
202573,,34353816,Rødbyvej,8,nan,4930,Maribo,419.15,2,"Kartofler, lægge- (certificerede)",149,,727-2,810.76,4,0,337.67,81.47999999999996,24.130067817691817,,,
202574,,34353816,Rødbyvej,8,nan,4930,Maribo,419.15,2,"Kartofler, lægge- (certificerede)",149,,561-3,32.196,2,0,337.67,81.47999999999996,24.130067817691817,,,
202575,,34353816,Rødbyvej,8,nan,4930,Maribo,419.15,2,"Kartofler, lægge- (certificerede)",149,,632-4,112.046,2,0,337.67,81.47999999999996,24.130067817691817,,,
202577,,34353816,Rødbyvej,8,nan,4930,Maribo,419.15,2,"Kartofler, lægge- (certificerede)",149,,18-417,547.13,4,0,337.67,81.47999999999996,24.130067817691817,,,
202578,,34353816,Rødbyvej,8,nan,4930,Maribo,419.15,2,"Kartofler, lægge- (certificerede)",149,,352-19,3.35,2,0,337.67,81.47999999999996,24.130067817691817,,,
275987,,59108115,Gavnø,2,nan,4700,Næstved,127.81,2,Vinterraps,22,,396-77,17.459,2,0,52.459999999999994,75.35000000000001,143.633244376668,,,
275994,,59108115,Gavnø,2,nan,4700,Næstved,127.81,2,Vinterraps,22,,64-72,65.225,4,0,52.459999999999994,75.35000000000001,143.633244376668,,,
275999,,59108115,Gavnø,2,nan,4700,Næstved,127.81,2,Vinterraps,22,,19-228,36.526,4,0,52.459999999999994,75.35000000000001,143.633244376668,,,
276017,,59108115,Gavnø,2,nan,4700,Næstved,127.81,2,Vinterraps,22,,396-12,31.308,4,0,52.459999999999994,75.35000000000001,143.633244376668,,,
276028,,59108115,Gavnø,2,nan,4700,Næstved,127.81,2,Vinterraps,22,,64-91,25.085,4,0,52.459999999999994,75.35000000000001,143.633244376668,,,
157392,,27860532,Sepstrupvej,30A,nan,8653,Them,176.0,2,Juletræer og pyntegrønt,583,,526-21,41.4,4,0,101.96000000000001,74.03999999999999,72.6167124362495,,,
185961,,31689074,Hovvejen,8,nan,4200,Slagelse,100.44,2,Silomajs,216,,64-82,15.055,4,0,26.54,73.9,278.4476262245667,,,
